epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.2966,1.79505,4.62158,3.04789,2.01929,0.04673,0.14737,0.02195,0.00507,0.05893,0.22105,0.02667,0.00572,2.72894,6.04204,7.91706,4.24825,0.00048,0.00048,0.00048
2,12.2858,1.80923,3.93633,2.2942,2.00316,0.03424,0.16842,0.01715,0.00487,0.01463,0.09474,0.00271,0.00088,2.82415,18.8815,28.9449,5.24923,0.000970298,0.000970298,0.000970298
3,18.069,1.8792,3.88144,2.14519,2.00254,0.1258,0.15789,0.04134,0.01212,0.0122,0.04211,0.00076,8e-05,2.99804,10.0383,9.77451,3.76949,0.0014507,0.0014507,0.0014507
4,24.034,1.92059,3.84072,2.06953,2.06102,0.01597,0.07368,0.0031,0.00078,0.01289,0.04211,0.00183,0.00052,4.24369,6.47618,17.1877,6.83303,0.00192119,0.00192119,0.00192119
5,29.847,1.9353,3.89081,2.15036,2.04098,0.07915,0.23158,0.0259,0.00594,0.03675,0.09474,0.00743,0.00167,3.4685,6.64403,8.65183,5.78323,0.0019208,0.0019208,0.0019208
6,35.8477,1.87357,3.86523,2.0618,1.99857,0.10195,0.07368,0.01359,0.00387,0.05927,0.02105,0.00247,0.00036,3.84929,5.46232,6.81161,4.85844,0.001901,0.001901,0.001901
7,41.7018,1.87126,3.81912,1.99232,2.00712,0.13925,0.13684,0.08421,0.02551,0.10712,0.10526,0.04558,0.01432,2.78119,5.17711,4.54412,3.28083,0.0018812,0.0018812,0.0018812
8,47.7046,1.88054,3.72151,1.86535,1.99984,0.0076,0.18947,0.00335,0.00075,0.01101,0.02105,0.00116,0.00027,3.73874,10.1738,11.2293,5.67344,0.0018614,0.0018614,0.0018614
9,53.6065,1.8863,3.7082,1.8956,2.00262,0.31126,0.22105,0.17385,0.05651,0.23415,0.14737,0.07824,0.02813,2.15575,4.12012,2.82963,2.65667,0.0018416,0.0018416,0.0018416
10,59.5889,1.82743,3.73114,1.88696,1.93899,0.38106,0.21053,0.20427,0.06033,0.40083,0.18947,0.15389,0.05679,2.70956,4.2172,3.34942,3.26935,0.0018218,0.0018218,0.0018218
11,65.6743,1.82594,3.76259,1.90954,1.94865,0.3411,0.27368,0.21901,0.07868,0.46875,0.2,0.18334,0.07281,2.30648,4.35833,2.46511,2.94283,0.001802,0.001802,0.001802
12,71.6221,1.73544,3.58717,1.75179,1.91168,0.53372,0.25263,0.33251,0.11674,0.5454,0.22105,0.25775,0.09121,2.08927,3.96767,2.30871,2.61401,0.0017822,0.0017822,0.0017822
13,77.5433,1.71274,3.5964,1.72298,1.86355,0.54164,0.36842,0.3388,0.1455,0.49474,0.31579,0.27615,0.11514,2.07626,4.22806,2.1971,2.69841,0.0017624,0.0017624,0.0017624
14,83.4655,1.8108,3.71653,1.78707,1.91737,0.56284,0.31579,0.38587,0.17318,0.5891,0.27368,0.3129,0.13914,1.91372,3.70989,2.0656,2.5246,0.0017426,0.0017426,0.0017426
15,89.4417,1.71752,3.58984,1.69506,1.84788,0.27423,0.33684,0.25657,0.10317,0.3835,0.23158,0.24016,0.09479,2.41399,3.61032,2.39605,2.86781,0.0017228,0.0017228,0.0017228
16,95.243,1.74718,3.66395,1.7164,1.8763,0.67427,0.24211,0.34337,0.13287,0.64856,0.23158,0.25599,0.10669,2.07332,3.54063,2.08231,2.75981,0.001703,0.001703,0.001703
17,101.222,1.67749,3.55428,1.69234,1.8351,0.47089,0.45906,0.41504,0.19825,0.44368,0.40298,0.37102,0.15321,1.8985,3.46019,2.02416,2.42173,0.0016832,0.0016832,0.0016832
18,107.099,1.57817,3.40314,1.57655,1.75828,0.45379,0.37895,0.34455,0.14196,0.48792,0.32632,0.27366,0.08782,2.02663,3.66826,1.90457,2.46617,0.0016634,0.0016634,0.0016634
19,112.893,1.59894,3.43301,1.61316,1.78159,0.49155,0.4,0.41035,0.20184,0.45133,0.30526,0.31481,0.13342,1.85356,3.5002,1.93894,2.35267,0.0016436,0.0016436,0.0016436
20,118.742,1.58973,3.5588,1.69169,1.7999,0.59287,0.41053,0.46599,0.20354,0.60576,0.37204,0.39282,0.15558,1.82635,3.46471,1.82467,2.29211,0.0016238,0.0016238,0.0016238
21,124.676,1.56697,3.35502,1.55468,1.76998,0.65661,0.36842,0.50747,0.23254,0.62362,0.34737,0.43248,0.19104,1.81534,3.31713,1.98525,2.28622,0.001604,0.001604,0.001604
22,130.759,1.564,3.33479,1.47071,1.7219,0.64295,0.3791,0.44636,0.20271,0.66849,0.37895,0.39063,0.15873,1.91444,3.43611,2.02995,2.28701,0.0015842,0.0015842,0.0015842
