epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9993,1.55277,2.26253,1.94143,0.2954,0.35802,0.31776,0.11308,2.4451,2.29889,3.40109,0.000658333,0.000658333,0.000658333
2,53.3829,1.75882,1.86247,2.0502,0.04408,0.15432,0.01393,0.00288,3.92808,6.58145,6.23505,0.00131188,0.00131188,0.00131188
3,84.8824,1.71656,1.78177,2.03299,0.07225,0.14815,0.02604,0.007,3.37476,4.74733,4.1281,0.00195223,0.00195223,0.00195223
4,110.531,1.77995,1.78742,2.04779,0.27236,0.30268,0.27096,0.08863,2.40255,2.75712,3.08839,0.0019406,0.0019406,0.0019406
5,136.969,1.69297,1.70237,1.98252,0.51058,0.64815,0.56652,0.17904,2.1006,1.81472,2.83331,0.0019208,0.0019208,0.0019208
6,162.363,1.72318,1.6428,1.98076,0.43722,0.44444,0.46532,0.17932,2.02373,1.84596,2.74902,0.001901,0.001901,0.001901
7,188.523,1.67605,1.61648,1.95143,0.56946,0.60418,0.62324,0.24853,1.84753,1.6594,2.50134,0.0018812,0.0018812,0.0018812
8,214.581,1.64679,1.54368,1.91559,0.52772,0.59877,0.60597,0.22404,2.00155,1.79362,2.64524,0.0018614,0.0018614,0.0018614
9,239.69,1.61151,1.5345,1.89978,0.73829,0.58025,0.74098,0.31968,1.88919,1.44556,2.54325,0.0018416,0.0018416,0.0018416
10,265.479,1.571,1.47773,1.82932,0.59023,0.72222,0.69479,0.30575,1.78093,1.39143,2.4675,0.0018218,0.0018218,0.0018218
11,291.105,1.55054,1.43321,1.81916,0.81015,0.74691,0.85816,0.36807,1.89945,1.33644,2.51929,0.001802,0.001802,0.001802
12,315.642,1.5428,1.41693,1.83699,0.74168,0.7963,0.83986,0.4004,1.60981,1.31339,2.2398,0.0017822,0.0017822,0.0017822
13,341.642,1.54053,1.4163,1.81798,0.79027,0.83733,0.89058,0.43049,1.66977,1.16657,2.26307,0.0017624,0.0017624,0.0017624
14,364.142,1.51019,1.35361,1.80563,0.77868,0.80357,0.85901,0.36412,1.87586,1.2262,2.44043,0.0017426,0.0017426,0.0017426
15,390.704,1.49671,1.33974,1.78666,0.80496,0.76429,0.84614,0.38713,1.85244,1.22714,2.54781,0.0017228,0.0017228,0.0017228
16,417.201,1.43128,1.3079,1.73648,0.4344,0.8344,0.44468,0.21827,1.59002,1.25168,2.20955,0.001703,0.001703,0.001703
17,441.54,1.45048,1.25961,1.75317,0.75476,0.76543,0.84922,0.41862,1.70955,1.17001,2.28191,0.0016832,0.0016832,0.0016832
18,466.786,1.39494,1.23601,1.69048,0.77914,0.79012,0.87386,0.4685,1.51823,1.04728,2.1412,0.0016634,0.0016634,0.0016634
19,493.456,1.36156,1.21614,1.68118,0.86088,0.84568,0.91304,0.48348,1.55261,1.03106,2.15724,0.0016436,0.0016436,0.0016436
20,519.288,1.38511,1.25213,1.70937,0.81196,0.85292,0.91286,0.45995,1.63367,1.0744,2.21014,0.0016238,0.0016238,0.0016238
21,544.385,1.37877,1.23402,1.68616,0.88071,0.91358,0.95342,0.54253,1.46708,0.93466,2.08631,0.001604,0.001604,0.001604
22,570.292,1.31283,1.15951,1.6543,0.86955,0.85185,0.94238,0.57063,1.28631,0.91531,1.94479,0.0015842,0.0015842,0.0015842
23,595.32,1.29888,1.12205,1.6315,0.94137,0.93827,0.98065,0.58618,1.33985,0.86291,1.9427,0.0015644,0.0015644,0.0015644
24,621.243,1.31738,1.14884,1.65407,0.88073,0.91975,0.96933,0.59278,1.3214,0.82764,1.94221,0.0015446,0.0015446,0.0015446
25,646.467,1.33221,1.14478,1.64395,0.84535,0.91105,0.92961,0.53112,1.39464,0.91241,2.00165,0.0015248,0.0015248,0.0015248
26,671.958,1.24648,1.06954,1.59347,0.89484,0.89292,0.95564,0.5563,1.41521,0.82885,2.03343,0.001505,0.001505,0.001505
27,698.808,1.26256,1.06329,1.59241,0.9301,0.92593,0.97093,0.60512,1.32253,0.79691,1.91162,0.0014852,0.0014852,0.0014852
28,721.154,1.22664,1.01969,1.58375,0.89895,0.87864,0.94731,0.56767,1.3804,0.87726,1.95051,0.0014654,0.0014654,0.0014654
29,740.407,1.24926,1.07771,1.57991,0.94217,0.91975,0.97881,0.58338,1.31467,0.79891,1.91334,0.0014456,0.0014456,0.0014456
30,759.832,1.24289,1.01309,1.56423,0.93997,0.97531,0.98727,0.63239,1.21137,0.76876,1.81287,0.0014258,0.0014258,0.0014258
31,778.922,1.19475,0.9982,1.56001,0.91054,0.94244,0.96753,0.61325,1.26286,0.77297,1.87445,0.001406,0.001406,0.001406
32,805.114,1.1797,1.00804,1.54467,0.90194,0.90841,0.97441,0.64049,1.21221,0.7171,1.80512,0.0013862,0.0013862,0.0013862
33,831.516,1.18419,0.97117,1.53688,0.89752,0.97314,0.97444,0.57683,1.41252,0.7558,1.93813,0.0013664,0.0013664,0.0013664
34,860.141,1.17969,0.9431,1.52785,0.98086,0.94887,0.98331,0.66437,1.15269,0.67386,1.74364,0.0013466,0.0013466,0.0013466
35,885.938,1.13829,0.93625,1.50763,0.95129,0.96451,0.98941,0.68923,1.13784,0.6626,1.72846,0.0013268,0.0013268,0.0013268
36,912.602,1.14509,0.93997,1.5143,0.94436,0.95679,0.98193,0.66253,1.14542,0.6804,1.73887,0.001307,0.001307,0.001307
37,938.211,1.15194,0.93689,1.49582,0.96073,0.95679,0.97903,0.62519,1.3105,0.70413,1.86355,0.0012872,0.0012872,0.0012872
38,965.012,1.11799,0.87635,1.47981,0.96602,0.93827,0.98813,0.67037,1.1952,0.66638,1.75044,0.0012674,0.0012674,0.0012674
39,991.34,1.0721,0.85417,1.4438,0.95715,0.96914,0.99043,0.69333,1.08229,0.63543,1.65615,0.0012476,0.0012476,0.0012476
40,1018.47,1.14498,0.90297,1.50801,0.95843,0.99615,0.98997,0.69008,1.06886,0.60887,1.652,0.0012278,0.0012278,0.0012278
41,1046.19,1.1036,0.86068,1.4738,0.97088,0.97531,0.99288,0.66386,1.14817,0.62315,1.69924,0.001208,0.001208,0.001208
